article_id,usage_count,avg_relevance_score,avg_score
KB-001,8,0.18,0.131
KB-002,11,0.207,0.113
KB-003,8,0.0,0.024
KB-004,6,0.168,0.281
KB-005,0,0.0,0.0
KB-006,0,0.0,0.0
Owntrail New Policy Update (2025),1,,0.203
Reset Password,1,,0.0
Account Locked,1,,0.0
